what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494493586074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494493588047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493615576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493618309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1494493619579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1494493620311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1494493621961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493648796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493648997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493655286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493655440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494493658598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493665289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493665543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494493667444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493672998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493676854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493693636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493701647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1494493702749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494493704789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493710345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493710514
error,log,,,"Internal Error",1494493711177
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1494493711447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493718011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494493720475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1494493723279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1494493738242
